PING 34.94.6.178 (34.94.6.178) 56(84) bytes of data.
64 bytes from 34.94.6.178: icmp_seq=82 ttl=61 time=3.14 ms
64 bytes from 34.94.6.178: icmp_seq=83 ttl=61 time=2.94 ms
64 bytes from 34.94.6.178: icmp_seq=84 ttl=61 time=2.65 ms
64 bytes from 34.94.6.178: icmp_seq=85 ttl=61 time=3.26 ms
64 bytes from 34.94.6.178: icmp_seq=86 ttl=61 time=3.83 ms
64 bytes from 34.94.6.178: icmp_seq=87 ttl=61 time=2.30 ms
64 bytes from 34.94.6.178: icmp_seq=88 ttl=61 time=3.05 ms
64 bytes from 34.94.6.178: icmp_seq=89 ttl=61 time=2.64 ms
64 bytes from 34.94.6.178: icmp_seq=90 ttl=61 time=2.61 ms
64 bytes from 34.94.6.178: icmp_seq=91 ttl=61 time=3.02 ms
64 bytes from 34.94.6.178: icmp_seq=92 ttl=61 time=2.94 ms
64 bytes from 34.94.6.178: icmp_seq=93 ttl=61 time=2.86 ms
64 bytes from 34.94.6.178: icmp_seq=94 ttl=61 time=3.63 ms
64 bytes from 34.94.6.178: icmp_seq=95 ttl=61 time=3.24 ms
64 bytes from 34.94.6.178: icmp_seq=96 ttl=61 time=2.78 ms
64 bytes from 34.94.6.178: icmp_seq=97 ttl=61 time=2.47 ms
64 bytes from 34.94.6.178: icmp_seq=98 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=99 ttl=61 time=2.15 ms
64 bytes from 34.94.6.178: icmp_seq=100 ttl=61 time=3.73 ms
64 bytes from 34.94.6.178: icmp_seq=101 ttl=61 time=2.53 ms
64 bytes from 34.94.6.178: icmp_seq=102 ttl=61 time=2.43 ms
64 bytes from 34.94.6.178: icmp_seq=103 ttl=61 time=2.76 ms
64 bytes from 34.94.6.178: icmp_seq=104 ttl=61 time=2.92 ms
64 bytes from 34.94.6.178: icmp_seq=105 ttl=61 time=3.30 ms
64 bytes from 34.94.6.178: icmp_seq=106 ttl=61 time=2.88 ms
64 bytes from 34.94.6.178: icmp_seq=107 ttl=61 time=3.19 ms
64 bytes from 34.94.6.178: icmp_seq=108 ttl=61 time=2.59 ms
64 bytes from 34.94.6.178: icmp_seq=109 ttl=61 time=2.80 ms
64 bytes from 34.94.6.178: icmp_seq=110 ttl=61 time=2.92 ms
64 bytes from 34.94.6.178: icmp_seq=111 ttl=61 time=2.59 ms
64 bytes from 34.94.6.178: icmp_seq=112 ttl=61 time=2.76 ms
64 bytes from 34.94.6.178: icmp_seq=113 ttl=61 time=2.86 ms
