PING 143.198.66.185 (143.198.66.185) 56(84) bytes of data.
64 bytes from 143.198.66.185: icmp_seq=82 ttl=62 time=0.342 ms
64 bytes from 143.198.66.185: icmp_seq=83 ttl=62 time=0.334 ms
64 bytes from 143.198.66.185: icmp_seq=84 ttl=62 time=0.365 ms
64 bytes from 143.198.66.185: icmp_seq=85 ttl=62 time=0.359 ms
64 bytes from 143.198.66.185: icmp_seq=86 ttl=62 time=0.368 ms
64 bytes from 143.198.66.185: icmp_seq=87 ttl=62 time=0.404 ms
64 bytes from 143.198.66.185: icmp_seq=88 ttl=62 time=0.315 ms
64 bytes from 143.198.66.185: icmp_seq=89 ttl=62 time=0.385 ms
64 bytes from 143.198.66.185: icmp_seq=90 ttl=62 time=0.360 ms
64 bytes from 143.198.66.185: icmp_seq=91 ttl=62 time=0.330 ms
64 bytes from 143.198.66.185: icmp_seq=92 ttl=62 time=0.326 ms
64 bytes from 143.198.66.185: icmp_seq=93 ttl=62 time=0.455 ms
64 bytes from 143.198.66.185: icmp_seq=94 ttl=62 time=0.359 ms
64 bytes from 143.198.66.185: icmp_seq=95 ttl=62 time=0.359 ms
64 bytes from 143.198.66.185: icmp_seq=96 ttl=62 time=0.348 ms
64 bytes from 143.198.66.185: icmp_seq=97 ttl=62 time=0.374 ms
64 bytes from 143.198.66.185: icmp_seq=98 ttl=62 time=0.334 ms
64 bytes from 143.198.66.185: icmp_seq=99 ttl=62 time=0.352 ms
64 bytes from 143.198.66.185: icmp_seq=100 ttl=62 time=0.419 ms
64 bytes from 143.198.66.185: icmp_seq=101 ttl=62 time=0.374 ms
64 bytes from 143.198.66.185: icmp_seq=102 ttl=62 time=0.408 ms
64 bytes from 143.198.66.185: icmp_seq=103 ttl=62 time=0.391 ms
64 bytes from 143.198.66.185: icmp_seq=104 ttl=62 time=0.314 ms
64 bytes from 143.198.66.185: icmp_seq=105 ttl=62 time=0.352 ms
64 bytes from 143.198.66.185: icmp_seq=106 ttl=62 time=0.546 ms
64 bytes from 143.198.66.185: icmp_seq=107 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=108 ttl=62 time=0.387 ms
64 bytes from 143.198.66.185: icmp_seq=109 ttl=62 time=0.333 ms
64 bytes from 143.198.66.185: icmp_seq=110 ttl=62 time=0.355 ms
64 bytes from 143.198.66.185: icmp_seq=111 ttl=62 time=0.414 ms
64 bytes from 143.198.66.185: icmp_seq=112 ttl=62 time=0.460 ms
64 bytes from 143.198.66.185: icmp_seq=113 ttl=62 time=0.387 ms
64 bytes from 143.198.66.185: icmp_seq=114 ttl=62 time=0.373 ms
64 bytes from 143.198.66.185: icmp_seq=115 ttl=62 time=0.380 ms
64 bytes from 143.198.66.185: icmp_seq=116 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=117 ttl=62 time=0.386 ms
64 bytes from 143.198.66.185: icmp_seq=118 ttl=62 time=0.392 ms
64 bytes from 143.198.66.185: icmp_seq=119 ttl=62 time=0.423 ms
64 bytes from 143.198.66.185: icmp_seq=120 ttl=62 time=0.369 ms
64 bytes from 143.198.66.185: icmp_seq=121 ttl=62 time=0.397 ms
64 bytes from 143.198.66.185: icmp_seq=122 ttl=62 time=0.369 ms
64 bytes from 143.198.66.185: icmp_seq=123 ttl=62 time=0.360 ms
64 bytes from 143.198.66.185: icmp_seq=124 ttl=62 time=0.317 ms
64 bytes from 143.198.66.185: icmp_seq=125 ttl=62 time=0.330 ms
64 bytes from 143.198.66.185: icmp_seq=126 ttl=62 time=0.384 ms
64 bytes from 143.198.66.185: icmp_seq=127 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=128 ttl=62 time=0.307 ms
64 bytes from 143.198.66.185: icmp_seq=129 ttl=62 time=0.357 ms
64 bytes from 143.198.66.185: icmp_seq=130 ttl=62 time=0.386 ms
64 bytes from 143.198.66.185: icmp_seq=131 ttl=62 time=0.412 ms
64 bytes from 143.198.66.185: icmp_seq=132 ttl=62 time=0.362 ms
64 bytes from 143.198.66.185: icmp_seq=133 ttl=62 time=0.391 ms
64 bytes from 143.198.66.185: icmp_seq=134 ttl=62 time=0.357 ms
64 bytes from 143.198.66.185: icmp_seq=135 ttl=62 time=0.337 ms
64 bytes from 143.198.66.185: icmp_seq=136 ttl=62 time=0.331 ms
64 bytes from 143.198.66.185: icmp_seq=137 ttl=62 time=0.359 ms
64 bytes from 143.198.66.185: icmp_seq=138 ttl=62 time=0.361 ms
64 bytes from 143.198.66.185: icmp_seq=139 ttl=62 time=0.401 ms
64 bytes from 143.198.66.185: icmp_seq=140 ttl=62 time=0.460 ms
64 bytes from 143.198.66.185: icmp_seq=141 ttl=62 time=0.362 ms
64 bytes from 143.198.66.185: icmp_seq=142 ttl=62 time=0.413 ms
64 bytes from 143.198.66.185: icmp_seq=143 ttl=62 time=0.402 ms
64 bytes from 143.198.66.185: icmp_seq=144 ttl=62 time=0.407 ms
64 bytes from 143.198.66.185: icmp_seq=145 ttl=62 time=0.372 ms
64 bytes from 143.198.66.185: icmp_seq=146 ttl=62 time=0.460 ms
64 bytes from 143.198.66.185: icmp_seq=147 ttl=62 time=0.421 ms
64 bytes from 143.198.66.185: icmp_seq=148 ttl=62 time=0.317 ms
64 bytes from 143.198.66.185: icmp_seq=149 ttl=62 time=0.370 ms
64 bytes from 143.198.66.185: icmp_seq=150 ttl=62 time=0.343 ms
64 bytes from 143.198.66.185: icmp_seq=151 ttl=62 time=0.333 ms
64 bytes from 143.198.66.185: icmp_seq=152 ttl=62 time=0.395 ms
64 bytes from 143.198.66.185: icmp_seq=153 ttl=62 time=0.411 ms
64 bytes from 143.198.66.185: icmp_seq=154 ttl=62 time=0.391 ms
64 bytes from 143.198.66.185: icmp_seq=155 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=156 ttl=62 time=0.346 ms
64 bytes from 143.198.66.185: icmp_seq=157 ttl=62 time=0.421 ms
64 bytes from 143.198.66.185: icmp_seq=158 ttl=62 time=0.354 ms
64 bytes from 143.198.66.185: icmp_seq=159 ttl=62 time=0.329 ms
64 bytes from 143.198.66.185: icmp_seq=160 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=161 ttl=62 time=0.412 ms
64 bytes from 143.198.66.185: icmp_seq=162 ttl=62 time=0.368 ms
64 bytes from 143.198.66.185: icmp_seq=163 ttl=62 time=0.441 ms
64 bytes from 143.198.66.185: icmp_seq=164 ttl=62 time=0.546 ms
64 bytes from 143.198.66.185: icmp_seq=165 ttl=62 time=0.386 ms
64 bytes from 143.198.66.185: icmp_seq=166 ttl=62 time=0.347 ms
64 bytes from 143.198.66.185: icmp_seq=167 ttl=62 time=0.357 ms
64 bytes from 143.198.66.185: icmp_seq=168 ttl=62 time=0.417 ms
64 bytes from 143.198.66.185: icmp_seq=169 ttl=62 time=0.392 ms
64 bytes from 143.198.66.185: icmp_seq=170 ttl=62 time=0.393 ms
64 bytes from 143.198.66.185: icmp_seq=171 ttl=62 time=0.346 ms
64 bytes from 143.198.66.185: icmp_seq=172 ttl=62 time=0.379 ms
64 bytes from 143.198.66.185: icmp_seq=173 ttl=62 time=0.327 ms
64 bytes from 143.198.66.185: icmp_seq=174 ttl=62 time=0.313 ms
64 bytes from 143.198.66.185: icmp_seq=175 ttl=62 time=0.363 ms
64 bytes from 143.198.66.185: icmp_seq=176 ttl=62 time=0.398 ms
64 bytes from 143.198.66.185: icmp_seq=177 ttl=62 time=0.428 ms
64 bytes from 143.198.66.185: icmp_seq=178 ttl=62 time=0.390 ms
64 bytes from 143.198.66.185: icmp_seq=179 ttl=62 time=1.21 ms
64 bytes from 143.198.66.185: icmp_seq=180 ttl=62 time=0.534 ms
64 bytes from 143.198.66.185: icmp_seq=181 ttl=62 time=0.423 ms
64 bytes from 143.198.66.185: icmp_seq=182 ttl=62 time=0.380 ms
64 bytes from 143.198.66.185: icmp_seq=183 ttl=62 time=0.371 ms
64 bytes from 143.198.66.185: icmp_seq=184 ttl=62 time=0.474 ms
64 bytes from 143.198.66.185: icmp_seq=185 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=186 ttl=62 time=0.340 ms
64 bytes from 143.198.66.185: icmp_seq=187 ttl=62 time=0.391 ms
64 bytes from 143.198.66.185: icmp_seq=188 ttl=62 time=0.333 ms
64 bytes from 143.198.66.185: icmp_seq=189 ttl=62 time=0.404 ms
64 bytes from 143.198.66.185: icmp_seq=190 ttl=62 time=0.332 ms
64 bytes from 143.198.66.185: icmp_seq=191 ttl=62 time=0.386 ms
64 bytes from 143.198.66.185: icmp_seq=192 ttl=62 time=0.347 ms
64 bytes from 143.198.66.185: icmp_seq=193 ttl=62 time=0.341 ms
64 bytes from 143.198.66.185: icmp_seq=194 ttl=62 time=0.380 ms
64 bytes from 143.198.66.185: icmp_seq=195 ttl=62 time=0.379 ms
64 bytes from 143.198.66.185: icmp_seq=196 ttl=62 time=0.426 ms
64 bytes from 143.198.66.185: icmp_seq=197 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=198 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=199 ttl=62 time=0.368 ms
64 bytes from 143.198.66.185: icmp_seq=200 ttl=62 time=0.399 ms
64 bytes from 143.198.66.185: icmp_seq=201 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=202 ttl=62 time=0.310 ms
64 bytes from 143.198.66.185: icmp_seq=203 ttl=62 time=0.392 ms
64 bytes from 143.198.66.185: icmp_seq=204 ttl=62 time=0.393 ms
64 bytes from 143.198.66.185: icmp_seq=205 ttl=62 time=0.374 ms
64 bytes from 143.198.66.185: icmp_seq=206 ttl=62 time=0.433 ms
64 bytes from 143.198.66.185: icmp_seq=207 ttl=62 time=0.405 ms
64 bytes from 143.198.66.185: icmp_seq=208 ttl=62 time=0.346 ms
64 bytes from 143.198.66.185: icmp_seq=209 ttl=62 time=0.357 ms
64 bytes from 143.198.66.185: icmp_seq=210 ttl=62 time=0.366 ms
64 bytes from 143.198.66.185: icmp_seq=211 ttl=62 time=0.396 ms
64 bytes from 143.198.66.185: icmp_seq=212 ttl=62 time=0.389 ms
64 bytes from 143.198.66.185: icmp_seq=213 ttl=62 time=0.313 ms
64 bytes from 143.198.66.185: icmp_seq=214 ttl=62 time=0.396 ms
64 bytes from 143.198.66.185: icmp_seq=215 ttl=62 time=0.464 ms
64 bytes from 143.198.66.185: icmp_seq=216 ttl=62 time=0.382 ms
64 bytes from 143.198.66.185: icmp_seq=217 ttl=62 time=0.430 ms
64 bytes from 143.198.66.185: icmp_seq=218 ttl=62 time=0.395 ms
64 bytes from 143.198.66.185: icmp_seq=219 ttl=62 time=0.375 ms
64 bytes from 143.198.66.185: icmp_seq=220 ttl=62 time=0.370 ms
64 bytes from 143.198.66.185: icmp_seq=221 ttl=62 time=0.393 ms
64 bytes from 143.198.66.185: icmp_seq=222 ttl=62 time=0.407 ms
64 bytes from 143.198.66.185: icmp_seq=223 ttl=62 time=0.348 ms
64 bytes from 143.198.66.185: icmp_seq=224 ttl=62 time=0.345 ms
64 bytes from 143.198.66.185: icmp_seq=225 ttl=62 time=0.387 ms
64 bytes from 143.198.66.185: icmp_seq=226 ttl=62 time=0.385 ms
64 bytes from 143.198.66.185: icmp_seq=227 ttl=62 time=0.396 ms
64 bytes from 143.198.66.185: icmp_seq=228 ttl=62 time=0.378 ms
64 bytes from 143.198.66.185: icmp_seq=229 ttl=62 time=0.351 ms
64 bytes from 143.198.66.185: icmp_seq=230 ttl=62 time=0.377 ms
