PING 54.183.192.90 (54.183.192.90) 56(84) bytes of data.
64 bytes from 54.183.192.90: icmp_seq=82 ttl=63 time=4.88 ms
64 bytes from 54.183.192.90: icmp_seq=83 ttl=63 time=0.538 ms
64 bytes from 54.183.192.90: icmp_seq=84 ttl=63 time=3.45 ms
64 bytes from 54.183.192.90: icmp_seq=85 ttl=63 time=0.506 ms
64 bytes from 54.183.192.90: icmp_seq=86 ttl=63 time=0.595 ms
64 bytes from 54.183.192.90: icmp_seq=87 ttl=63 time=0.502 ms
64 bytes from 54.183.192.90: icmp_seq=88 ttl=63 time=0.498 ms
64 bytes from 54.183.192.90: icmp_seq=89 ttl=63 time=3.23 ms
64 bytes from 54.183.192.90: icmp_seq=90 ttl=63 time=0.480 ms
64 bytes from 54.183.192.90: icmp_seq=91 ttl=63 time=0.457 ms
64 bytes from 54.183.192.90: icmp_seq=92 ttl=63 time=0.492 ms
64 bytes from 54.183.192.90: icmp_seq=93 ttl=63 time=1.16 ms
64 bytes from 54.183.192.90: icmp_seq=94 ttl=63 time=0.442 ms
64 bytes from 54.183.192.90: icmp_seq=95 ttl=63 time=0.508 ms
64 bytes from 54.183.192.90: icmp_seq=96 ttl=63 time=0.591 ms
64 bytes from 54.183.192.90: icmp_seq=97 ttl=63 time=1.06 ms
64 bytes from 54.183.192.90: icmp_seq=98 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=99 ttl=63 time=0.567 ms
64 bytes from 54.183.192.90: icmp_seq=100 ttl=63 time=0.544 ms
64 bytes from 54.183.192.90: icmp_seq=101 ttl=63 time=0.741 ms
64 bytes from 54.183.192.90: icmp_seq=102 ttl=63 time=0.471 ms
64 bytes from 54.183.192.90: icmp_seq=103 ttl=63 time=0.912 ms
64 bytes from 54.183.192.90: icmp_seq=104 ttl=63 time=2.37 ms
64 bytes from 54.183.192.90: icmp_seq=105 ttl=63 time=1.94 ms
64 bytes from 54.183.192.90: icmp_seq=106 ttl=63 time=0.498 ms
64 bytes from 54.183.192.90: icmp_seq=107 ttl=63 time=0.467 ms
64 bytes from 54.183.192.90: icmp_seq=108 ttl=63 time=0.490 ms
64 bytes from 54.183.192.90: icmp_seq=109 ttl=63 time=0.584 ms
64 bytes from 54.183.192.90: icmp_seq=110 ttl=63 time=0.468 ms
64 bytes from 54.183.192.90: icmp_seq=111 ttl=63 time=0.527 ms
64 bytes from 54.183.192.90: icmp_seq=112 ttl=63 time=0.454 ms
64 bytes from 54.183.192.90: icmp_seq=113 ttl=63 time=0.440 ms
64 bytes from 54.183.192.90: icmp_seq=114 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=115 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=116 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=117 ttl=63 time=0.464 ms
64 bytes from 54.183.192.90: icmp_seq=118 ttl=63 time=0.507 ms
64 bytes from 54.183.192.90: icmp_seq=119 ttl=63 time=0.472 ms
64 bytes from 54.183.192.90: icmp_seq=120 ttl=63 time=0.465 ms
64 bytes from 54.183.192.90: icmp_seq=121 ttl=63 time=2.07 ms
64 bytes from 54.183.192.90: icmp_seq=122 ttl=63 time=0.462 ms
64 bytes from 54.183.192.90: icmp_seq=123 ttl=63 time=0.512 ms
64 bytes from 54.183.192.90: icmp_seq=124 ttl=63 time=3.47 ms
64 bytes from 54.183.192.90: icmp_seq=125 ttl=63 time=0.504 ms
64 bytes from 54.183.192.90: icmp_seq=126 ttl=63 time=0.689 ms
64 bytes from 54.183.192.90: icmp_seq=127 ttl=63 time=0.513 ms
64 bytes from 54.183.192.90: icmp_seq=128 ttl=63 time=0.487 ms
64 bytes from 54.183.192.90: icmp_seq=129 ttl=63 time=0.662 ms
64 bytes from 54.183.192.90: icmp_seq=130 ttl=63 time=0.476 ms
64 bytes from 54.183.192.90: icmp_seq=131 ttl=63 time=0.526 ms
64 bytes from 54.183.192.90: icmp_seq=132 ttl=63 time=0.486 ms
64 bytes from 54.183.192.90: icmp_seq=133 ttl=63 time=0.505 ms
64 bytes from 54.183.192.90: icmp_seq=134 ttl=63 time=0.498 ms
64 bytes from 54.183.192.90: icmp_seq=135 ttl=63 time=0.542 ms
64 bytes from 54.183.192.90: icmp_seq=136 ttl=63 time=0.467 ms
64 bytes from 54.183.192.90: icmp_seq=137 ttl=63 time=0.461 ms
64 bytes from 54.183.192.90: icmp_seq=138 ttl=63 time=0.510 ms
64 bytes from 54.183.192.90: icmp_seq=139 ttl=63 time=0.548 ms
64 bytes from 54.183.192.90: icmp_seq=140 ttl=63 time=0.521 ms
64 bytes from 54.183.192.90: icmp_seq=141 ttl=63 time=0.485 ms
64 bytes from 54.183.192.90: icmp_seq=142 ttl=63 time=0.683 ms
64 bytes from 54.183.192.90: icmp_seq=143 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=144 ttl=63 time=0.507 ms
64 bytes from 54.183.192.90: icmp_seq=145 ttl=63 time=0.451 ms
64 bytes from 54.183.192.90: icmp_seq=146 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=147 ttl=63 time=3.00 ms
64 bytes from 54.183.192.90: icmp_seq=148 ttl=63 time=0.542 ms
64 bytes from 54.183.192.90: icmp_seq=149 ttl=63 time=0.566 ms
64 bytes from 54.183.192.90: icmp_seq=150 ttl=63 time=0.480 ms
64 bytes from 54.183.192.90: icmp_seq=151 ttl=63 time=0.449 ms
64 bytes from 54.183.192.90: icmp_seq=152 ttl=63 time=0.465 ms
64 bytes from 54.183.192.90: icmp_seq=153 ttl=63 time=0.478 ms
64 bytes from 54.183.192.90: icmp_seq=154 ttl=63 time=0.436 ms
64 bytes from 54.183.192.90: icmp_seq=155 ttl=63 time=0.434 ms
64 bytes from 54.183.192.90: icmp_seq=156 ttl=63 time=0.454 ms
64 bytes from 54.183.192.90: icmp_seq=157 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=158 ttl=63 time=0.438 ms
64 bytes from 54.183.192.90: icmp_seq=159 ttl=63 time=0.548 ms
64 bytes from 54.183.192.90: icmp_seq=160 ttl=63 time=0.473 ms
64 bytes from 54.183.192.90: icmp_seq=161 ttl=63 time=0.452 ms
64 bytes from 54.183.192.90: icmp_seq=162 ttl=63 time=0.522 ms
64 bytes from 54.183.192.90: icmp_seq=163 ttl=63 time=0.478 ms
64 bytes from 54.183.192.90: icmp_seq=164 ttl=63 time=0.422 ms
64 bytes from 54.183.192.90: icmp_seq=165 ttl=63 time=1.25 ms
64 bytes from 54.183.192.90: icmp_seq=166 ttl=63 time=0.466 ms
64 bytes from 54.183.192.90: icmp_seq=167 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=168 ttl=63 time=3.13 ms
64 bytes from 54.183.192.90: icmp_seq=169 ttl=63 time=0.510 ms
